Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,2316767,72,2232328,55,2316839,2259737,1853207
90,2101477,100,2014398,92,2101577,2041752,1631001
80,1882410,116,1795409,110,1882526,1822822,1385018
70,1663188,136,1576560,133,1663324,1604005,1139130
60,1443451,105,1357455,93,1443556,1384860,1030679
50,1223404,70,1138858,68,1223474,1166212,701535
40,1003594,106,919815,88,1003700,947206,470601
30,783148,69,700773,60,783217,728141,280343
20,546997,92,481922,80,547089,509299,112232
10,293133,59,262141,53,293192,289487,5822
