Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,818364,102,782037,97,818466,801863,353745
90,754355,82,715619,70,754437,735440,174901
80,675869,89,641743,70,675958,661570,160087
70,597616,80,568000,73,597696,587886,122925
60,519386,72,493928,62,519458,513747,109227
50,442455,58,419716,52,442513,439482,45017
40,365968,54,343102,46,366022,362921,14292
30,289660,56,265231,45,289716,285034,5345
20,213959,48,184062,42,214007,203825,922
10,137594,66,104554,58,137660,124368,35
