matrix,high_br_mispreds,nnz_speedup
bcsstk10,False,True
bcsstk11,True,True
bcsstk12,True,True
bcsstk13,True,False
bcsstk15,True,False
bcsstk16,True,False
bcsstk17,True,False
bcsstk18,True,True
bcsstk21,True,False
bcsstk23,True,False
bcsstk24,True,False
bcsstk25,True,False
bcsstk26,True,True
bcsstk27,True,False
bcsstk28,True,False
bcsstm10,False,True
bcsstm13,False,True
bcsstm27,True,False
beacxc,False,True
beaflw,False,True
beause,False,True
gemat1,True,False
gemat11,True,False
gemat12,True,True
lns_3937,True,False
lnsp3937,True,True
mbeacxc,False,True
mbeaflw,False,True
mbeause,False,True
mcfe,False,True
orani678,False,True
plat1919,True,False
psmigr_1,True,False
psmigr_2,True,True
psmigr_3,True,True
saylr4,False,False
sherman2,True,True
sherman3,False,True
sherman5,False,True
onetone1,True,False
onetone2,True,False
pre2,True,False
twotone,True,False
epb1,True,False
epb2,True,False
epb3,True,False
af23560,True,False
dw4096,True,False
rdb5000,True,False
rw5151,False,False
bcsstk34,False,True
bcsstk35,True,False
bcsstk36,True,False
bcsstk37,True,False
bcsstk38,True,True
bcsstm34,False,True
bcsstm35,False,True
bcsstm36,True,False
bcsstm39,False,False
crystk01,True,False
crystk02,True,False
crystk03,True,False
crystm01,True,False
crystm02,True,False
crystm03,True,False
ct20stif,True,False
msc00726,True,True
msc01050,True,True
msc01440,True,False
msc04515,True,False
msc10848,True,False
msc23052,True,False
nasa1824,True,False
pwtk,True,True
circuit_1,False,True
circuit_2,False,False
circuit_3,True,False
circuit_4,True,False
rma10,True,True
coater2,True,False
thermal,True,False
vibrobox,True,False
cavity05,True,True
cavity06,False,True
cavity07,False,True
cavity08,False,True
cavity09,True,True
cavity10,True,False
cavity11,True,False
cavity12,True,False
cavity13,True,False
cavity14,True,False
cavity15,True,False
cavity16,True,False
cavity17,True,False
cavity18,True,False
cavity19,True,False
cavity20,True,False
cavity21,True,False
cavity22,True,False
cavity23,True,False
cavity24,True,False
cavity25,True,False
cavity26,True,False
ex10,True,False
ex10hs,True,False
ex11,True,False
ex12,True,False
ex13,True,False
ex14,True,False
ex15,True,False
ex18,True,False
ex19,True,False
ex2,False,True
ex20,True,False
ex22,False,True
ex23,True,True
ex24,True,False
ex25,False,True
ex26,True,False
ex27,True,True
ex28,True,False
ex29,True,True
ex3,True,False
ex31,True,False
ex33,False,False
ex35,True,False
ex36,True,False
ex37,True,False
ex4,False,False
ex40,True,True
ex6,True,False
ex7,True,False
ex8,True,False
ex9,True,False
big,True,False
nopoly,True,False
pesa,True,False
garon1,True,False
garon2,True,False
goodwin,True,False
rim,True,False
graham1,True,False
bayer01,True,False
bayer02,True,False
bayer03,True,False
bayer04,True,False
bayer05,False,True
bayer06,False,True
bayer07,False,False
bayer08,False,True
bayer10,True,False
meg1,False,True
meg4,True,False
poli_large,True,True
G10,True,True
G27,True,True
G28,True,False
G29,True,True
G30,True,False
G31,True,False
G39,False,True
G40,False,True
G41,False,True
G42,False,True
G56,True,True
G57,False,False
G59,True,False
G6,True,True
G61,True,True
G62,True,False
G64,True,False
G65,True,False
G66,True,False
G67,True,False
G7,True,True
G8,True,True
G9,False,True
bcircuit,True,False
hcircuit,True,False
memplus,True,False
scircuit,True,False
g7jac020,True,False
g7jac020sc,True,False
g7jac040,True,False
g7jac040sc,True,False
g7jac050sc,True,False
g7jac060,True,False
g7jac060sc,True,False
g7jac080,True,False
g7jac080sc,True,False
g7jac100,True,False
g7jac100sc,True,False
g7jac120,True,False
g7jac120sc,True,False
g7jac140,True,False
g7jac140sc,True,False
g7jac160,True,False
g7jac160sc,True,False
g7jac180,True,False
g7jac180sc,True,False
g7jac200,True,False
g7jac200sc,True,False
jan99jac020,True,False
jan99jac020sc,True,False
jan99jac040,True,False
jan99jac040sc,True,False
jan99jac060,True,False
jan99jac060sc,True,False
jan99jac080,True,False
jan99jac080sc,True,False
jan99jac100,True,False
jan99jac100sc,True,False
jan99jac120,True,False
jan99jac120sc,True,False
mark3jac020,True,False
mark3jac020sc,True,False
mark3jac040,True,False
mark3jac040sc,True,False
mark3jac060,True,False
mark3jac060sc,True,False
mark3jac080,True,False
mark3jac080sc,True,False
mark3jac100,True,False
mark3jac100sc,True,False
mark3jac120,True,False
mark3jac120sc,True,False
mark3jac140,True,False
mark3jac140sc,True,False
lp_80bau3b,False,True
lp_cre_b,True,True
