Percentage,L1_DCM,L1_ICM,L2_DCM,L2_ICM,L1_TCM,L2_TCM,L3_TCM
100,1582959,73,1310479,61,1583032,1392967,851294
90,1456998,100,1208494,92,1457098,1291071,755244
80,1328670,111,1095149,105,1328781,1177694,558300
70,1202276,91,981430,89,1202367,1063932,421341
60,1072467,88,868945,75,1072555,951433,305128
50,939106,70,758207,66,939176,840718,188756
40,801696,106,645814,97,801802,728378,116990
30,657129,67,528618,59,657196,611066,54183
20,502636,84,403644,86,502720,486135,15490
10,350617,70,275192,58,350687,357680,1491
